Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
73,Charlie Brown Jr.,SG,24,TOT,22,177,6.5,0.346,0.308,0.256,8.9,11.2,10.1,4.5,2.8,2,10.3,12.3,,-0.2,0.2,0,0.013,,-5.2,0.4,-4.8,-0.1
73,Charlie Brown Jr.,SG,24,DAL,3,15,5.1,0.2,0.6,0,0,7.4,3.7,9,6.7,6,0,15,,-0.1,0,0,-0.051,,-7.8,5,-2.7,0
73,Charlie Brown Jr.,SG,24,PHI,19,162,6.6,0.365,0.265,0.294,9.8,11.5,10.7,4.1,2.5,1.7,11.5,12.1,,-0.1,0.2,0.1,0.019,,-5,0,-5,-0.1
74,Chaundee Brown Jr.,SG-SF,23,TOT,5,104,6.5,0.447,0.563,0.188,1.1,15.6,8.4,5.1,0.9,0,2.8,14.9,,0,0,0,0.002,,-4.2,-2.4,-6.6,-0.1
74,Chaundee Brown Jr.,SF,23,LAL,2,21,-8.7,0.143,0.429,0,0,10.2,5.1,0,0,0,12.5,16.4,,-0.1,0,-0.1,-0.306,,-11.5,-5,-16.5,-0.1
74,Chaundee Brown Jr.,SG,23,ATL,3,83,10.3,0.525,0.6,0.24,1.3,17,9.2,6.4,1.2,0,0,14.5,,0.1,0,0.1,0.08,,-2.4,-1.7,-4.1,0
75,Greg Brown III,SF,20,POR,43,524,11.4,0.5,0.285,0.373,7.3,17.6,12.2,7.6,2.1,3.8,12.8,17.4,,0,0.4,0.4,0.035,,-4,-0.6,-4.6,-0.3
76,Jaylen Brown,SF,25,BOS,62,2097,18.6,0.573,0.385,0.263,2.7,16.4,9.7,17.2,1.5,0.7,11.8,30.4,,2,3.2,5.2,0.118,,1.8,0,1.8,1.9
77,Moses Brown,C,22,TOT,36,284,19.2,0.621,0,0.713,11.8,30.6,21.2,0.5,1.1,4.8,12.3,20.5,,0.5,0.6,1,0.171,,-2.1,-0.3,-2.4,0
77,Moses Brown,C,22,DAL,26,169,15.6,0.588,0,0.86,10.4,29.7,20,0.9,0.9,4.8,16.9,22.1,,0.1,0.3,0.4,0.111,,-4.7,-0.2,-4.9,-0.1
